old_id,new_id
BBEAR_00002003,PB.61.1
BBEAR_00002004,PB.61.2
BBEAR_00002005,PB.61.3
BBEAR_00002006,PB.61.4
BBEAR_00002007,PB.61.5
BBEAR_00002008,PB.61.6
BBEAR_00000161,PB.62.1
BBEAR_00000160,PB.62.2
BBEAR_00002009,PB.62.3
BBEAR_00002010,PB.62.4
BBEAR_00000162,PB.63.1
BBEAR_00000163,PB.63.2
BBEAR_00000164,PB.63.3
BBEAR_00000165,PB.64.1
BBEAR_00000166,PB.64.2
BBEAR_00000167,PB.64.3
BBEAR_00000168,PB.64.4
BBEAR_00002011,PB.64.5
BBEAR_00002012,PB.64.6
BBEAR_00002013,PB.64.7
BBEAR_00000169,PB.65.1
BBEAR_00002014,PB.66.1
BBEAR_00002015,PB.66.2
BBEAR_00002016,PB.66.3
BBEAR_00000170,PB.67.1
BBEAR_00000171,PB.68.1
BBEAR_00000172,PB.69.1
BBEAR_00002017,PB.69.2
BBEAR_00002018,PB.69.3
BBEAR_00002020,PB.69.4
BBEAR_00002021,PB.69.5
BBEAR_00002019,PB.69.6
BBEAR_00002022,PB.69.7
BBEAR_00002025,PB.69.8
BBEAR_00002024,PB.69.9
BBEAR_00002023,PB.69.10
BBEAR_00002026,PB.69.11
BBEAR_00000173,PB.69.12
BBEAR_00000174,PB.70.1
BBEAR_00000175,PB.71.1
BBEAR_00002027,PB.71.2
BBEAR_00000176,PB.71.3
BBEAR_00000177,PB.71.4
BBEAR_00000178,PB.71.5
BBEAR_00000179,PB.71.6
BBEAR_00000180,PB.71.7
BBEAR_00000182,PB.72.1
BBEAR_00000181,PB.72.2
BBEAR_00000183,PB.73.1
BBEAR_00002028,PB.74.1
BBEAR_00000184,PB.74.2
BBEAR_00000185,PB.75.1
BBEAR_00000186,PB.75.2
BBEAR_00000187,PB.76.1
BBEAR_00000188,PB.77.1
BBEAR_00002029,PB.77.2
BBEAR_00002030,PB.77.3
BBEAR_00000189,PB.77.4
BBEAR_00002031,PB.77.5
BBEAR_00002032,PB.77.6
BBEAR_00002033,PB.77.7
BBEAR_00002034,PB.77.8
BBEAR_00000190,PB.77.9
BBEAR_00002035,PB.77.10
BBEAR_00000191,PB.77.11
BBEAR_00000192,PB.77.12
BBEAR_00000194,PB.77.13
BBEAR_00000193,PB.77.14
BBEAR_00000195,PB.77.15
BBEAR_00000196,PB.77.16
BBEAR_00000197,PB.77.17
BBEAR_00000198,PB.77.18
BBEAR_00002036,PB.77.19
BBEAR_00002037,PB.77.20
BBEAR_00000199,PB.77.21
BBEAR_00000200,PB.77.22
BBEAR_00000201,PB.77.23
BBEAR_00000202,PB.78.1
BBEAR_00000203,PB.78.2
BBEAR_00000204,PB.79.1
BBEAR_00000205,PB.79.2
BBEAR_00000210,PB.79.3
BBEAR_00000211,PB.79.4
BBEAR_00000209,PB.79.5
BBEAR_00000208,PB.79.6
BBEAR_00000207,PB.79.7
BBEAR_00000206,PB.79.8
BBEAR_00000212,PB.79.9
BBEAR_00000213,PB.80.1
BBEAR_00000214,PB.80.2
BBEAR_00000215,PB.80.3
BBEAR_00002040,PB.80.4
BBEAR_00002039,PB.80.5
BBEAR_00002038,PB.80.6
BBEAR_00002042,PB.80.7
BBEAR_00002041,PB.80.8
BBEAR_00002043,PB.80.9
BBEAR_00000217,PB.81.1
BBEAR_00000216,PB.81.2
BBEAR_00000218,PB.81.3
BBEAR_00000219,PB.82.1
BBEAR_00000220,PB.83.1
BBEAR_00000221,PB.84.1
